Obs,carat,color,clarity,cut,channel,store,price
320,1.01,2,4,0,2,10,7325
323,1.01,2,4,0,2,10,7372
331,1.01,2,4,0,2,10,7790
333,1.04,2,4,1,2,10,7888
338,1.04,2,4,1,2,10,8175
339,1.04,2,4,1,2,10,8175
351,1.04,2,4,1,2,10,8687
135,0.52,2,4,0,2,11,2040
158,0.6,2,4,0,2,11,2530
413,1.7,2,4,0,2,11,17290
34,0.87,2,4,0,0,3,6999
340,1.04,1,4,1,2,10,8369
341,1.04,1,4,1,2,10,8445
342,1.04,1,4,1,2,10,8522
343,1.04,1,4,1,2,10,8522
425,2,1,4,0,2,10,27575
136,0.5,1,4,0,2,11,2040
35,0.77,1,4,0,0,3,6999
119,0.36,4,4,1,2,10,1079
253,1.05,4,4,0,2,10,5247
17,1.02,9,5,0,0,3,3999
371,2.27,8,5,0,2,11,10180
77,0.97,8,5,0,1,1,4850
100,1.02,8,5,0,1,1,6995
204,1.02,7,5,0,2,10,4056
205,1.02,7,5,0,2,10,4074
206,1.02,7,5,0,2,10,4074
207,1.02,7,5,0,2,10,4099
208,1.02,7,5,0,2,10,4152
209,1.02,7,5,0,2,10,4178
212,1.02,7,5,0,2,10,4218
213,1.02,7,5,0,2,10,4257
214,1.02,7,5,0,2,10,4257
215,1.02,7,5,0,2,10,4336
240,1.02,7,5,1,2,10,4871
257,1.13,7,5,1,2,10,5314
317,1.52,7,5,0,2,10,7230
334,1.58,7,5,0,2,10,7894
337,1.5,7,5,1,2,10,8095
234,1.12,7,5,1,2,11,4870
241,1.13,7,5,1,2,11,4880
281,1.37,7,5,1,2,11,6180
285,1.34,7,5,0,2,11,6190
385,2.02,7,5,0,2,11,11840
22,1.02,7,5,0,0,3,4900
108,0.42,6,5,1,2,10,878
152,0.7,6,5,1,2,10,2450
153,0.7,6,5,1,2,10,2450
217,1,6,5,0,2,10,4372
218,1,6,5,0,2,10,4452
219,1,6,5,0,2,10,4452
220,1,6,5,0,2,10,4452
222,1,6,5,0,2,10,4538
244,1.08,6,5,0,2,10,4965
245,1.08,6,5,0,2,10,4965
247,1.08,6,5,0,2,10,4996
248,1.08,6,5,0,2,10,5012
279,1.24,6,5,1,2,10,6149
298,1.37,6,5,0,2,10,6570
363,1.51,6,5,1,2,10,9422
406,2,6,5,1,2,10,16641
235,1.06,6,5,0,2,11,4870
305,1.32,6,5,1,2,11,7070
372,1.62,6,5,0,2,11,10220
373,1.6,6,5,0,2,11,10220
387,1.5,6,5,1,2,11,11860
414,2.48,6,5,0,2,11,17440
92,1.21,6,5,0,1,2,6171
31,0.69,6,5,1,0,7,6455
42,1.5,6,5,0,0,7,16150
254,0.99,5,5,0,2,10,5252
295,1.14,5,5,0,2,10,6486
309,1.27,5,5,0,2,10,7083
367,1.5,5,5,1,2,10,10108
379,1.5,5,5,1,2,10,10848
381,1.5,5,5,1,2,10,11119
384,1.5,5,5,1,2,10,11767
288,1.14,5,5,0,2,11,6190
408,2.01,5,5,0,2,11,17020
409,2.02,5,5,0,2,11,17100
415,2.01,5,5,0,2,11,17450
105,0.996,5,5,0,1,1,9850
63,0.69,5,5,0,1,6,2139
99,1.04,5,5,0,1,9,6700
38,1.03,5,5,0,0,3,8900
24,0.7,5,5,0,0,8,4990
41,1.06,5,5,0,0,8,10255
113,0.38,4,5,1,2,10,986
120,0.39,4,5,1,2,10,1094
121,0.39,4,5,1,2,10,1094
176,0.75,4,5,1,2,10,3273
293,1.01,4,5,1,2,10,6308
302,1.01,4,5,1,2,10,6885
260,1.01,4,5,0,2,11,5550
352,1.3,4,5,1,2,11,8710
388,1.02,4,5,0,2,11,11880
90,1.01,4,5,0,1,5,5900
116,0.38,3,5,1,2,10,1062
143,0.53,3,5,1,2,10,2202
144,0.53,3,5,1,2,10,2202
321,1.12,3,5,0,2,10,7350
310,1.11,3,5,0,2,11,7110
314,1.12,3,5,0,2,11,7120
97,1.01,3,5,0,1,6,6500
142,0.53,2,5,1,2,10,2165
148,0.53,2,5,1,2,10,2274
177,0.7,2,5,0,2,10,3291
180,0.7,2,5,0,2,10,3322
182,0.7,2,5,0,2,10,3322
201,0.78,2,5,0,2,10,3758
231,0.91,2,5,0,2,10,4841
304,1.04,2,5,0,2,10,7018
422,2,2,5,1,2,10,22431
133,0.51,2,5,0,2,11,2010
193,0.73,2,5,0,2,11,3490
403,1.5,2,5,1,2,11,13820
411,1.76,2,5,0,2,11,17230
83,1.01,2,5,0,1,6,5500
126,0.37,1,5,1,2,10,1273
163,0.65,1,5,0,2,10,2665
249,0.91,1,5,0,2,10,5030
347,1.07,1,5,1,2,10,8622
139,0.52,1,5,0,2,11,2050
311,1.02,1,5,0,2,11,7110
181,0.7,4,5,0,2,10,3322
203,1.08,7,6,0,2,10,3997
332,1.59,7,6,1,2,10,7792
101,1.02,7,6,0,1,1,7500
71,1.022,7,6,0,1,6,4300
26,1.01,7,6,0,0,3,5000
221,1.02,6,6,1,2,10,4525
225,1.02,6,6,1,2,10,4566
227,1.02,6,6,1,2,10,4690
250,1.14,6,6,0,2,10,5084
278,1.3,6,6,1,2,10,6014
232,1.08,6,6,0,2,11,4850
233,1.15,6,6,1,2,11,4860
394,2.1,6,6,0,2,11,13680
396,2.2,6,6,1,2,11,13700
76,1.02,6,6,0,1,6,4850
14,0.7,6,6,0,0,3,3500
21,0.7,6,6,1,0,4,4299
39,1.5,6,6,0,0,4,9499
23,1.03,6,6,0,0,7,4949
164,0.74,5,6,1,2,10,2678
374,1.6,5,6,0,2,10,10292
375,1.6,5,6,0,2,10,10390
376,1.6,5,6,0,2,10,10638
236,1.03,5,6,0,2,11,4870
258,1.01,5,6,1,2,11,5550
286,1.02,5,6,1,2,11,6190
306,1.23,5,6,1,2,11,7070
312,1.27,5,6,1,2,11,7120
366,1.53,5,6,0,2,11,10080
368,1.5,5,6,0,2,11,10130
369,1.5,5,6,0,2,11,10130
80,1.1,5,6,0,1,2,5375
82,1.01,5,6,0,1,2,5476
84,1,5,6,0,1,5,5500
60,0.504,5,6,0,1,6,1420
74,1,5,6,0,1,6,4495
88,1.05,5,6,0,1,9,5800
188,0.81,4,6,1,2,10,3433
198,0.81,4,6,1,2,10,3625
271,1.12,4,6,0,2,10,5837
264,1.03,4,6,0,2,11,5570
282,1.05,4,6,1,2,11,6180
283,1.05,4,6,0,2,11,6180
397,1.8,4,6,0,2,11,13700
102,0.826,4,6,1,1,1,7775
106,1.07,4,6,1,1,1,10950
18,0.69,4,6,1,0,4,4099
167,0.72,3,6,0,2,10,2905
171,0.72,3,6,1,2,10,3109
173,0.72,3,6,1,2,10,3138
229,0.9,3,6,1,2,10,4799
243,0.94,3,6,0,2,10,4912
252,0.9,3,6,1,2,10,5195
280,1.11,3,6,0,2,10,6149
191,0.73,3,6,1,2,11,3490
197,0.85,3,6,0,2,11,3510
354,1.38,3,6,1,2,11,8730
96,1.05,3,6,0,1,2,6404
98,1.16,3,6,0,1,5,6500
62,0.545,3,6,0,1,6,1890
103,1.14,3,6,0,1,9,8100
141,0.59,2,6,1,2,10,2122
147,0.63,2,6,0,2,10,2268
149,0.59,2,6,1,2,10,2301
185,0.76,2,6,0,2,10,3409
273,1.02,2,6,0,2,10,5908
274,1.02,2,6,0,2,10,5934
276,1.02,2,6,0,2,10,5961
290,1.02,2,6,0,2,10,6201
316,1.13,2,6,1,2,10,7159
416,2,2,6,0,2,10,19227
130,0.58,2,6,1,2,11,2010
307,1.04,2,6,1,2,11,7070
357,1.26,2,6,1,2,11,8760
410,1.78,2,6,0,2,11,17160
93,1.007,2,6,0,1,6,6200
246,0.92,1,6,0,2,10,4973
398,1.53,1,6,1,2,10,13708
418,2,1,6,0,2,10,19776
131,0.55,1,6,1,2,11,2010
242,1.14,4,6,0,2,10,4900
284,1.08,4,6,0,2,11,6180
72,1.01,7,7,0,1,5,4350
86,1.23,7,7,0,1,5,5590
200,1,6,7,0,2,10,3730
202,1,6,7,0,2,10,3826
223,1.18,6,7,0,2,10,4552
224,1.14,6,7,1,2,10,4555
348,1.74,6,7,0,2,10,8664
79,1.27,6,7,0,1,9,5302
13,0.72,6,7,0,0,4,3499
226,1.07,5,7,0,2,10,4657
230,1.08,5,7,0,2,10,4822
4,0.59,5,7,0,0,3,2495
29,1.11,5,7,0,0,3,6000
20,0.72,5,7,1,0,4,4299
2,0.35,5,7,1,0,7,1680
12,0.72,5,7,1,0,8,3499
162,0.72,4,7,1,2,10,2628
216,0.93,4,7,1,2,10,4338
378,1.71,4,7,0,2,10,10704
287,1.24,4,7,0,2,11,6190
370,1.6,4,7,0,2,11,10150
95,0.701,4,7,1,1,1,6300
78,1.02,4,7,0,1,2,5234
73,0.92,4,7,0,1,6,4390
104,1.51,4,7,0,1,9,9000
25,1.16,4,7,0,0,3,4999
3,0.4,4,7,1,0,7,2245
33,0.7,4,7,1,0,7,6685
16,0.83,4,7,0,0,8,3995
170,0.71,3,7,1,2,10,3085
210,0.92,3,7,1,2,10,4208
228,0.92,3,7,1,2,10,4767
251,1.06,3,7,0,2,10,5171
255,1.06,3,7,0,2,10,5296
256,1.06,3,7,0,2,10,5296
362,1.51,3,7,0,2,10,9299
380,1.7,3,7,0,2,10,10863
382,1.66,3,7,1,2,10,11244
358,1.52,3,7,0,2,11,8770
386,1.71,3,7,0,2,11,11840
66,0.82,3,7,1,1,2,3878
68,0.86,3,7,0,1,9,4200
1,0.32,3,7,0,0,7,1375
19,0.66,3,7,0,0,7,4125
300,1.1,2,7,1,2,10,6740
259,1.05,2,7,0,2,11,5550
261,1.05,2,7,0,2,11,5560
262,1.05,2,7,0,2,11,5560
94,1.05,2,7,0,1,6,6250
10,0.47,2,7,0,0,7,3080
168,0.7,1,7,1,2,10,3016
184,0.7,1,7,1,2,10,3384
267,1.04,1,7,0,2,10,5694
268,1.04,1,7,0,2,10,5694
269,1.04,1,7,0,2,10,5694
270,1.04,1,7,0,2,10,5694
275,1.05,1,7,0,2,10,5954
263,1.02,1,7,0,2,11,5560
401,1.58,1,7,1,2,11,13810
70,0.77,1,7,1,1,2,4256
172,0.7,4,7,1,2,10,3116
151,0.72,4,7,0,2,11,2450
237,1.02,4,7,0,2,11,4870
67,0.545,4,7,1,1,1,3895
40,2.37,7,8,0,0,3,9999
5,0.72,7,8,0,0,8,2699
15,1.03,6,8,0,0,3,3900
6,0.72,6,8,0,0,8,2699
161,0.99,5,8,1,2,11,2620
11,0.75,5,8,0,0,3,3200
27,1.2,4,8,0,0,4,5299
37,1.02,4,8,1,0,7,8735
43,2.11,3,8,0,0,7,16500
87,1.11,2,8,0,1,5,5590
7,0.51,2,8,0,0,3,2895
89,0.74,1,8,0,1,1,5895
85,1.24,4,8,0,1,5,5590
8,1,8,9,0,0,7,2900
9,1,8,9,0,0,8,2999
